Index    Name                Use       Typ     Value
  0     -1                    C         I       -1
  1     1                     C         I       1
  2     CodegenBASIC          P         I       0
  3     BASIC TEST File FA22  c         S       BASIC TEST File FA22
  4     String printout:  Hello World c         S       String printout:  Hello World
  5     a                     v         I       0
  6     2                     c         I       2
  7     b                     v         I       0
  8     3                     c         I       3
  9     @0                    V         I       0
 10     @1                    V         I       0
 11     @2                    V         I       0
 12     @3                    V         I       0
 13     @4                    V         I       0
 14     @5                    V         I       0
 15     @6                    V         I       0
 16     a is now              c         S       a is now 
 17     Input a value of 25 for a:  c         S       Input a value of 25 for a: 
 18     After READLN, a is now  c         S       After READLN, a is now 
 19     All done.             c         S       All done.
